オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス,氏名,ひらがな,生年月日,性別,都道府県,商品名,カテゴリ,サブカテゴリ,色,サイズ,定価
202205080014-1,2022-05-08,C00000784,SW-BMGL,1,15900,2022-05-14,,配達済み,佐々木 裕貴,ささき ゆうき,1990-03-05,男,東京都,Men Gray セーター B L,トップス,Men,Gray,L,15900
202205080007-1,2022-05-08,C00000480,PA-BWBL,1,19800,2022-05-13,,配達済み,山口 奈都美,やまぐち なつみ,1975-03-28,女,東京都,Women Black パンツ B L,ボトムス,Women,Black,L,19800
202205080000-1,2022-05-08,C00000201,NI-CWBL,1,12400,2022-05-14,,配達済み,伊藤 史子,いとう ふみこ,1992-02-01,女,東京都,Women Black ニット C L,トップス,Women,Black,L,12400
202205080018-1,2022-05-08,C00000859,VE-CWBL,1,16800,2022-05-11,,配達済み,岩永 真澄,いわなが ますみ,1990-02-06,女,東京都,Women Black ベスト C L,アウター,Women,Black,L,16800
202205080035-1,2022-05-08,C00001813,BP-BUNN,3,29400,2022-05-14,,配達済み,門林 智也,かどばやし ともや,1989-09-07,男,埼玉県,バックパック B,バッグ,Unisex,,,9800
202205080019-1,2022-05-08,C00000926,PA-BMGM,2,40000,2022-05-13,,配達済み,木村 千鶴,きむら ちづる,1987-08-28,女,神奈川県,Men Gray パンツ B M,ボトムス,Men,Gray,M,20000
202205090006-2,2022-05-09,C00001271,HC-BUNN,1,980,2022-05-12,,配達済み,松尾 翔子,まつお しょうこ,1989-01-12,女,東京都,ハンカチ B,小物,Unisex,,,980
202205090004-1,2022-05-09,C00000762,HA-AUNN,1,5280,2022-05-14,,配達済み,西澤 ちえ,にしざわ ちえ,2002-10-15,女,埼玉県,帽子 A,小物,Unisex,,,5280
202205090006-1,2022-05-09,C00001271,PA-BWGM,1,19800,2022-05-11,,配達済み,松尾 翔子,まつお しょうこ,1989-01-12,女,東京都,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
202205090007-1,2022-05-09,C00001575,TS-BWWM,1,7600,2022-05-12,,配達済み,東田 光子,ひがしだ ひかるこ,1981-06-09,女,神奈川県,Women White Tシャツ B M,トップス,Women,White,M,7600
202205090002-1,2022-05-09,C00000617,VE-AKWS,1,14500,2022-05-16,,配達済み,大塚 千秋,おおつか ちあき,1989-12-10,女,東京都,Kids White ベスト A S,アウター,Kids,White,S,14500
202205100013-1,2022-05-10,C00002005,CT-BWBM,2,70400,2022-05-15,,配達済み,山下 一明,やました かずあき,1982-07-05,男,山梨県,Women Black コート B M,アウター,Women,Black,M,35200
202205100011-1,2022-05-10,C00001755,PA-CWWL,1,14300,2022-05-16,,配達済み,宮田 牧子,みやた まきこ,1988-07-17,女,兵庫県,Women White パンツ C L,ボトムス,Women,White,L,14300
202205100007-1,2022-05-10,C00000223,TS-BWGM,1,7600,2022-05-15,,配達済み,滝澤 啓子,たきざわ けいこ,1973-11-30,女,東京都,Women Gray Tシャツ B M,トップス,Women,Gray,M,7600
202205100009-1,2022-05-10,C00000579,NI-CMWS,3,36900,2022-05-15,,配達済み,倉澤 和史,くらさわ かずし,1975-01-02,男,神奈川県,Men White ニット C S,トップス,Men,White,S,12300
202205100000-1,2022-05-10,C00000215,PA-AMWM,1,16500,2022-05-15,,配達済み,酒井 義貴,さかい よしたか,2002-08-02,男,東京都,Men White パンツ A M,ボトムス,Men,White,M,16500
202205100012-1,2022-05-10,C00001993,SK-AWGM,1,18100,2022-05-16,,配達済み,高嶋 佳織,たかしま かおり,1995-06-10,女,大阪府,Women Gray スカート A M,ボトムス,Women,Gray,M,18100
202205100008-1,2022-05-10,C00000517,SK-AWBM,1,18100,2022-05-13,,配達済み,藤枝 莉紗,ふじえだ りさ,1973-06-23,女,北海道,Women Black スカート A M,ボトムス,Women,Black,M,18100
202205110050-1,2022-05-11,C00001417,NI-CWGS,1,12400,2022-05-17,,配達済み,佐藤 祐子,さとう ゆうこ,1984-05-10,女,千葉県,Women Gray ニット C S,トップス,Women,Gray,S,12400
202205110055-1,2022-05-11,C00001796,NI-CWGM,1,12400,2022-05-16,,配達済み,深川 知代,ふかがわ ともよ,1976-05-30,女,石川県,Women Gray ニット C M,トップス,Women,Gray,M,12400
202205110061-1,2022-05-11,C00002053,NI-AWGS,1,11000,2022-05-17,,配達済み,金子 美智,かねこ みち,1993-05-27,女,福岡県,Women Gray ニット A S,トップス,Women,Gray,S,11000
202205110037-1,2022-05-11,C00000854,TS-BWBL,4,30400,2022-05-14,,配達済み,平田 香世,ひらた かよ,1994-07-23,女,大阪府,Women Black Tシャツ B L,トップス,Women,Black,L,7600
202205110028-1,2022-05-11,C00000617,BP-AKNN,1,7800,2022-05-17,,配達済み,大塚 千秋,おおつか ちあき,1989-12-10,女,東京都,バックパック A,バッグ,Kids,,,7800
202205110036-1,2022-05-11,C00000830,NI-BMBM,1,14500,2022-05-16,,配達済み,串間 洋介,くしま ようすけ,2002-03-29,男,愛知県,Men Black ニット B M,トップス,Men,Black,M,14500
202205110042-1,2022-05-11,C00000875,PA-BWGM,3,59400,2022-05-18,,配達済み,山下 正子,やました まさこ,1983-08-31,女,大阪府,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
202205110002-1,2022-05-11,C00000208,SB-CUNN,1,5890,2022-05-14,,配達済み,稲田 和昌,いなだ かずまさ,1984-07-08,男,宮城県,ショルダーバッグ C,バッグ,Unisex,,,5890
202205110057-1,2022-05-11,C00001843,VE-AWWL,1,18900,2022-05-16,,配達済み,中西 英恵,なかにし はなえ,1981-02-27,女,愛知県,Women White ベスト A L,アウター,Women,White,L,18900
202205110032-1,2022-05-11,C00000779,PA-BWGM,1,19800,2022-05-18,,配達済み,槇野 滋子,まきの あさこ,1986-06-14,女,東京都,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
202205110013-1,2022-05-11,C00000446,TS-CMBS,1,7600,2022-05-15,,配達済み,米村 一城,よねむら かずき,1981-10-07,男,東京都,Men Black Tシャツ C S,トップス,Men,Black,S,7600
202205110000-1,2022-05-11,C00000073,VE-BWBL,1,18900,2022-05-19,,配達済み,山本 久恵,やまもと ひさえ,1984-11-30,女,静岡県,Women Black ベスト B L,アウター,Women,Black,L,18900
202205110054-1,2022-05-11,C00001774,SB-CUNN,1,5890,2022-05-15,,配達済み,岩佐 和代,いわさ かずよ,1972-07-20,女,兵庫県,ショルダーバッグ C,バッグ,Unisex,,,5890
202205110030-1,2022-05-11,C00000742,SW-BWWL,1,15900,2022-05-16,,配達済み,佐川 なな,さがわ なな,1994-05-18,女,東京都,Women White セーター B L,トップス,Women,White,L,15900
202205110005-1,2022-05-11,C00000287,TB-AUNN,1,7800,2022-05-16,,配達済み,青柳 寛朗,あおやぎ ひろあき,1994-06-14,男,東京都,トートバッグ A,バッグ,Unisex,,,7800
202205110029-1,2022-05-11,C00000715,HC-BUNN,1,980,2022-05-18,,配達済み,鈴木 佳澄,すずき かすみ,1989-11-18,女,宮崎県,ハンカチ B,小物,Unisex,,,980
202205110029-2,2022-05-11,C00000715,CT-BMWL,1,38900,2022-05-16,,配達済み,鈴木 佳澄,すずき かすみ,1989-11-18,女,宮崎県,Men White コート B L,アウター,Men,White,L,38900
202205110057-2,2022-05-11,C00001843,HA-AKNN,1,4300,2022-05-18,,配達済み,中西 英恵,なかにし はなえ,1981-02-27,女,愛知県,帽子 A,小物,Kids,,,4300
202205110056-1,2022-05-11,C00001834,SB-AUNN,1,8800,2022-05-12,,配達済み,鈴木 優,すずき ゆう,1985-05-17,男,東京都,ショルダーバッグ A,バッグ,Unisex,,,8800
202205110007-1,2022-05-11,C00000410,NI-AMBL,1,10000,2022-05-15,,配達済み,藤田 俊光,ふじた としみつ,1987-03-01,男,兵庫県,Men Black ニット A L,トップス,Men,Black,L,10000
202205110031-1,2022-05-11,C00000762,PA-BWWS,4,79200,2022-05-15,,配達済み,西澤 ちえ,にしざわ ちえ,2002-10-15,女,埼玉県,Women White パンツ B S,ボトムス,Women,White,S,19800
202205110012-1,2022-05-11,C00000412,BP-AUNN,2,20400,2022-05-18,,配達済み,齊藤 洋恵,さいとう ひろえ,1997-12-16,女,長野県,バックパック A,バッグ,Unisex,,,10200
202205110014-1,2022-05-11,C00000452,NI-CMBM,1,12300,2022-05-13,,配達済み,小宮山 伸二,こみやま しんじ,1982-09-07,男,大阪府,Men Black ニット C M,トップス,Men,Black,M,12300
202205110023-1,2022-05-11,C00000473,SK-AWBL,1,18100,2022-05-16,,配達済み,鈴木 彩夏,すずき あやか,2006-04-02,女,東京都,Women Black スカート A L,ボトムス,Women,Black,L,18100
202205110041-1,2022-05-11,C00000875,TO-BUNN,1,2180,2022-05-16,,配達済み,山下 正子,やました まさこ,1983-08-31,女,大阪府,タオル B,小物,Unisex,,,2180
202205110027-1,2022-05-11,C00000482,NI-CWGM,1,12400,2022-05-12,,配達済み,田崎 亜子,たさき あこ,1986-02-10,女,北海道,Women Gray ニット C M,トップス,Women,Gray,M,12400
202205110051-1,2022-05-11,C00001462,TO-AUNN,2,4560,2022-05-15,,配達済み,深井 尚司,ふかい たかし,1991-04-19,男,栃木県,タオル A,小物,Unisex,,,2280
202205110044-1,2022-05-11,C00001016,SW-BWBL,1,15900,2022-05-15,,配達済み,村上 康代,むらかみ やすよ,2002-02-16,女,東京都,Women Black セーター B L,トップス,Women,Black,L,15900
202205110011-1,2022-05-11,C00000410,NI-CMBM,1,12300,2022-05-14,,配達済み,藤田 俊光,ふじた としみつ,1987-03-01,男,兵庫県,Men Black ニット C M,トップス,Men,Black,M,12300
202205110006-1,2022-05-11,C00000335,JA-AMBL,1,31900,2022-05-17,,配達済み,奥 淳,おく じゅん,1987-04-26,男,東京都,Men Black ジャケット A L,アウター,Men,Black,L,31900
202205110048-1,2022-05-11,C00001346,SB-BUNN,2,13600,2022-05-16,,配達済み,岡崎 雄一,おかざき ゆういち,2005-02-21,男,福岡県,ショルダーバッグ B,バッグ,Unisex,,,6800
202205110052-1,2022-05-11,C00001498,BP-BUNN,1,9800,2022-05-15,,配達済み,鈴木 楓,すずき ふう,1996-05-01,女,愛媛県,バックパック B,バッグ,Unisex,,,9800
202205110028-2,2022-05-11,C00000617,PA-CWBS,1,14300,2022-05-16,,配達済み,大塚 千秋,おおつか ちあき,1989-12-10,女,東京都,Women Black パンツ C S,ボトムス,Women,Black,S,14300
202205110053-1,2022-05-11,C00001669,PA-BMWS,1,20000,2022-05-14,,配達済み,大友 明,おおとも あきら,1996-04-08,男,千葉県,Men White パンツ B S,ボトムス,Men,White,S,20000
202205120011-1,2022-05-12,C00002029,NI-BMBL,1,14500,2022-05-16,,配達済み,村岡 孝司,むらおか こうじ,1994-02-17,男,福岡県,Men Black ニット B L,トップス,Men,Black,L,14500
202205120001-1,2022-05-12,C00000446,HA-BUNN,4,19200,2022-05-16,,配達済み,米村 一城,よねむら かずき,1981-10-07,男,東京都,帽子 B,小物,Unisex,,,4800
202205120013-1,2022-05-12,C00002069,HA-BUNN,1,4800,2022-05-18,,配達済み,糸数 優子,いとかず ゆうこ,1978-01-06,女,鹿児島県,帽子 B,小物,Unisex,,,4800
202205120000-1,2022-05-12,C00000078,SB-CUNN,1,5890,2022-05-17,,配達済み,栃木 亜沙美,とちぎ あさみ,1983-06-12,女,東京都,ショルダーバッグ C,バッグ,Unisex,,,5890
202205120002-1,2022-05-12,C00001303,PA-CWBM,1,14300,2022-05-19,,配達済み,細井 由紀子,ほそい ゆきこ,1991-07-18,女,福岡県,Women Black パンツ C M,ボトムス,Women,Black,M,14300
202205120000-2,2022-05-12,C00000078,TB-BUNN,1,9800,2022-05-16,,配達済み,栃木 亜沙美,とちぎ あさみ,1983-06-12,女,東京都,トートバッグ B,バッグ,Unisex,,,9800
202205120007-1,2022-05-12,C00001989,NI-AWWL,1,11000,2022-05-17,,配達済み,小野寺 さやか,おのでら さやか,1973-07-12,女,北海道,Women White ニット A L,トップス,Women,White,L,11000
202205120004-1,2022-05-12,C00001857,TS-AWBL,3,26700,2022-05-19,,配達済み,水越 まゆみ,みずこし まゆみ,1973-12-16,女,東京都,Women Black Tシャツ A L,トップス,Women,Black,L,8900
202205120015-1,2022-05-12,C00002218,HA-AUNN,1,5280,2022-05-15,,配達済み,水野 依子,みずの よりこ,1980-02-03,女,東京都,帽子 A,小物,Unisex,,,5280
202205130009-1,2022-05-13,C00000641,NI-BMBL,1,14500,2022-05-18,,配達済み,下畑 雄太,しもはた ゆうた,1985-09-01,男,北海道,Men Black ニット B L,トップス,Men,Black,L,14500
202205130014-1,2022-05-13,C00001949,HC-BUNN,1,980,2022-05-18,,配達済み,福住 翔子,ふくずみ しょうこ,1999-07-21,女,神奈川県,ハンカチ B,小物,Unisex,,,980
202205130011-1,2022-05-13,C00001328,SW-CWBL,1,18400,2022-05-17,,配達済み,松山 麻由子,まつやま まゆこ,1993-10-30,女,東京都,Women Black セーター C L,トップス,Women,Black,L,18400
202205130002-1,2022-05-13,C00000084,TS-AMGS,1,7900,2022-05-18,,配達済み,作田 綾花,さくた あやか,1990-07-07,女,愛知県,Men Gray Tシャツ A S,トップス,Men,Gray,S,7900
202205130004-1,2022-05-13,C00000326,VE-CWWS,1,16800,2022-05-15,,配達済み,渡辺 亜希子,わたなべ あきこ,1980-08-01,女,兵庫県,Women White ベスト C S,アウター,Women,White,S,16800
202205130012-1,2022-05-13,C00001591,HC-BUNN,1,980,2022-05-20,,配達済み,竹之内 竜雄,たけのうち たつお,2004-06-09,男,北海道,ハンカチ B,小物,Unisex,,,980
202205130007-1,2022-05-13,C00000577,TS-CWWS,1,7600,2022-05-14,,配達済み,岩本 真由美,いわもと まゆみ,1999-04-05,女,兵庫県,Women White Tシャツ C S,トップス,Women,White,S,7600
202205130010-1,2022-05-13,C00001079,TB-AUNN,2,15600,2022-05-18,,配達済み,長谷川 まみ,はせがわ まみ,1986-10-07,女,神奈川県,トートバッグ A,バッグ,Unisex,,,7800
202205130007-2,2022-05-13,C00000577,SK-AWBM,1,18100,2022-05-16,,配達済み,岩本 真由美,いわもと まゆみ,1999-04-05,女,兵庫県,Women Black スカート A M,ボトムス,Women,Black,M,18100
202205140004-1,2022-05-14,C00002139,PA-CWGM,3,42900,2022-05-17,,配達済み,神谷 梨香,かみや りか,1976-05-27,女,東京都,Women Gray パンツ C M,ボトムス,Women,Gray,M,14300
202205140001-1,2022-05-14,C00000838,TS-AWWL,1,8900,2022-05-17,,配達済み,菊地 芳江,きくち よしえ,2002-03-29,女,神奈川県,Women White Tシャツ A L,トップス,Women,White,L,8900
202205140003-1,2022-05-14,C00001647,SB-BUNN,1,6800,2022-05-16,,配達済み,磯部 由貴,いそべ よしたか,2001-12-22,女,千葉県,ショルダーバッグ B,バッグ,Unisex,,,6800
202205140010-1,2022-05-14,C00002195,TS-AWWM,1,8900,2022-05-17,,配達済み,森田 圭美,もりた たまみ,2001-06-06,女,東京都,Women White Tシャツ A M,トップス,Women,White,M,8900
202205140008-1,2022-05-14,C00002180,TB-BUNN,1,9800,2022-05-19,,配達済み,小田原 由香,おだわら ゆか,1992-11-21,女,埼玉県,トートバッグ B,バッグ,Unisex,,,9800
202205140002-1,2022-05-14,C00001423,SB-CUNN,1,5890,2022-05-18,,配達済み,山口 真理子,やまぐち まりこ,1987-12-31,女,東京都,ショルダーバッグ C,バッグ,Unisex,,,5890
202205150003-1,2022-05-15,C00000391,PA-AKGM,1,7600,2022-05-17,,配達済み,川端 みちる,かわばた みちる,1991-07-27,女,埼玉県,Kids Gray パンツ A M,ボトムス,Kids,Gray,M,7600
202205150011-2,2022-05-15,C00001366,PA-CMWM,1,14300,2022-05-20,,配達済み,田中 友里,たなか ゆり,1974-12-31,女,東京都,Men White パンツ C M,ボトムス,Men,White,M,14300
202205150000-1,2022-05-15,C00000229,TS-AMGS,1,7900,2022-05-21,,配達済み,岩崎 幸治,いわさき こうじ,1991-04-11,男,兵庫県,Men Gray Tシャツ A S,トップス,Men,Gray,S,7900
202205150007-2,2022-05-15,C00000939,HA-AUNN,2,10560,2022-05-19,,配達済み,手塚 いづみ,てづか いづみ,1994-05-28,女,神奈川県,帽子 A,小物,Unisex,,,5280
202205150010-1,2022-05-15,C00001328,PA-CWGL,1,14300,2022-05-20,,配達済み,松山 麻由子,まつやま まゆこ,1993-10-30,女,東京都,Women Gray パンツ C L,ボトムス,Women,Gray,L,14300
202205150011-1,2022-05-15,C00001366,PA-BMGL,2,40000,2022-05-18,,配達済み,田中 友里,たなか ゆり,1974-12-31,女,東京都,Men Gray パンツ B L,ボトムス,Men,Gray,L,20000
202205150004-1,2022-05-15,C00000466,BP-CUNN,1,12900,2022-05-19,,配達済み,木村 啓太,きむら けいた,1977-07-06,男,大阪府,バックパック C,バッグ,Unisex,,,12900
202205150006-1,2022-05-15,C00000707,SK-AWBS,1,18100,2022-05-20,,配達済み,野口 さおり,のぐち さおり,1990-01-27,女,福岡県,Women Black スカート A S,ボトムス,Women,Black,S,18100
202205150007-1,2022-05-15,C00000939,HA-BUNN,1,4800,2022-05-17,,配達済み,手塚 いづみ,てづか いづみ,1994-05-28,女,神奈川県,帽子 B,小物,Unisex,,,4800
202205160011-1,2022-05-16,C00001771,NI-AMWM,1,10000,2022-05-20,,配達済み,森崎 香織,もりさき かおり,1979-05-06,女,東京都,Men White ニット A M,トップス,Men,White,M,10000
202205160008-1,2022-05-16,C00001049,PA-BMWM,2,40000,2022-05-21,,配達済み,福村 万里子,ふくむら まりこ,1997-10-01,女,福岡県,Men White パンツ B M,ボトムス,Men,White,M,20000
202205160012-1,2022-05-16,C00001952,HA-BUNN,1,4800,2022-05-19,,配達済み,副島 麻里奈,そえじま まりな,1997-06-25,女,北海道,帽子 B,小物,Unisex,,,4800
202205160015-1,2022-05-16,C00002150,CT-AMWM,1,39600,2022-05-20,,配達済み,平山 めぐみ,ひらやま めぐみ,1998-12-22,女,愛知県,Men White コート A M,アウター,Men,White,M,39600
202205160010-1,2022-05-16,C00001752,SB-CUNN,1,5890,2022-05-21,,配達済み,有岡 花梨,ありおか かりん,1996-06-19,女,北海道,ショルダーバッグ C,バッグ,Unisex,,,5890
202205160004-2,2022-05-16,C00000357,SK-AWBM,1,18100,2022-05-22,,配達済み,山田 ジュン,やまだ じゅん,1979-07-25,女,愛知県,Women Black スカート A M,ボトムス,Women,Black,M,18100
202205160004-1,2022-05-16,C00000357,SW-BWBS,1,15900,2022-05-22,,配達済み,山田 ジュン,やまだ じゅん,1979-07-25,女,愛知県,Women Black セーター B S,トップス,Women,Black,S,15900
202205160009-1,2022-05-16,C00001143,SW-CMGL,2,36800,2022-05-22,,配達済み,松村 真吾,まつむら しんご,1982-03-03,男,埼玉県,Men Gray セーター C L,トップス,Men,Gray,L,18400
202205160001-1,2022-05-16,C00000321,PA-AMWS,1,16500,2022-05-19,,配達済み,佐々木 陽,ささき あきら,1996-06-23,男,埼玉県,Men White パンツ A S,ボトムス,Men,White,S,16500
202205170001-1,2022-05-17,C00001565,JA-CMGL,1,20800,2022-05-24,,配達済み,野島 英行,のじま ひでゆき,1980-07-08,男,広島県,Men Gray ジャケット C L,アウター,Men,Gray,L,20800
202205180002-1,2022-05-18,C00000872,PA-BMGS,1,20000,2022-05-22,,配達済み,土橋 拓,どばし たく,1998-02-27,男,大阪府,Men Gray パンツ B S,ボトムス,Men,Gray,S,20000
202205180001-1,2022-05-18,C00000045,NI-BWGL,1,15100,2022-05-23,,配達済み,藤田 麻衣子,ふじた まいこ,1994-10-31,女,東京都,Women Gray ニット B L,トップス,Women,Gray,L,15100
202205180005-1,2022-05-18,C00002105,PA-BMWM,1,20000,2022-05-21,,配達済み,井上 貴行,いのうえ たかゆき,1981-12-25,男,東京都,Men White パンツ B M,ボトムス,Men,White,M,20000
202205190011-2,2022-05-19,C00001773,HA-BUNN,3,14400,2022-05-22,2022-05-24,キャンセル,町田 智子,まちだ ともこ,1991-08-17,女,北海道,帽子 B,小物,Unisex,,,4800
202205190000-1,2022-05-19,C00000290,TO-AUNN,1,2280,2022-05-25,,配達済み,伊東 祐三,いとう ゆうぞう,1972-11-27,男,神奈川県,タオル A,小物,Unisex,,,2280
202205190006-1,2022-05-19,C00000959,SK-AWGS,1,18100,2022-05-26,,配達済み,佐藤 里紗,さとう りさ,1998-09-10,女,東京都,Women Gray スカート A S,ボトムス,Women,Gray,S,18100
202205190021-1,2022-05-19,C00002110,TS-BMBM,1,8700,2022-05-24,,配達済み,岸川 康博,きしかわ やすひろ,2003-09-16,男,石川県,Men Black Tシャツ B M,トップス,Men,Black,M,8700
202205190008-1,2022-05-19,C00001292,SW-BMGL,1,15900,2022-05-24,,配達済み,江戸 覚,えど さとる,1998-10-31,男,東京都,Men Gray セーター B L,トップス,Men,Gray,L,15900
202205190015-1,2022-05-19,C00001883,SW-CWGM,1,18400,2022-05-22,,配達済み,武山 亜美,たけやま あみ,1996-08-10,女,東京都,Women Gray セーター C M,トップス,Women,Gray,M,18400
202205190023-1,2022-05-19,C00002182,TO-AUNN,1,2280,2022-05-24,,配達済み,林 大輔,はやし だいすけ,2007-10-14,男,東京都,タオル A,小物,Unisex,,,2280
202205190003-1,2022-05-19,C00000311,HA-AUNN,2,10560,2022-05-23,,配達済み,富田 可織,とみた かおり,1982-04-11,女,東京都,帽子 A,小物,Unisex,,,5280
202205190016-1,2022-05-19,C00001926,NI-CMBM,1,12300,2022-05-24,,配達済み,梅田 幸夫,うめだ ゆきお,1975-06-04,男,東京都,Men Black ニット C M,トップス,Men,Black,M,12300
202205190011-1,2022-05-19,C00001773,TS-BMBL,1,8700,2022-05-21,2022-05-24,キャンセル,町田 智子,まちだ ともこ,1991-08-17,女,北海道,Men Black Tシャツ B L,トップス,Men,Black,L,8700
202205190004-2,2022-05-19,C00000939,SW-BWGS,1,15900,2022-05-25,,配達済み,手塚 いづみ,てづか いづみ,1994-05-28,女,神奈川県,Women Gray セーター B S,トップス,Women,Gray,S,15900
202205190004-1,2022-05-19,C00000939,SK-AWWL,1,18100,2022-05-23,,配達済み,手塚 いづみ,てづか いづみ,1994-05-28,女,神奈川県,Women White スカート A L,ボトムス,Women,White,L,18100
202205190019-1,2022-05-19,C00002100,CT-BMWS,1,38900,2022-05-24,,配達済み,三登 一馬,みと かずま,1974-10-28,男,大阪府,Men White コート B S,アウター,Men,White,S,38900
202205190018-1,2022-05-19,C00002062,SK-AWBM,1,18100,2022-05-26,,配達済み,小林 由実,こばやし ゆみ,1989-09-13,女,京都府,Women Black スカート A M,ボトムス,Women,Black,M,18100
202205200037-1,2022-05-20,C00000896,JA-AMGM,2,63800,2022-05-25,,配達済み,半澤 亮佑,はんざわ りょうすけ,1976-06-11,男,大阪府,Men Gray ジャケット A M,アウター,Men,Gray,M,31900
202205200023-1,2022-05-20,C00000596,BP-BUNN,1,9800,2022-05-25,,配達済み,吉田 忠興,よしだ ただおき,1980-04-15,男,東京都,バックパック B,バッグ,Unisex,,,9800
202205200009-1,2022-05-20,C00000511,PA-AMGM,1,16500,2022-05-23,,配達済み,加藤 泰弘,かとう たいこう,1975-04-19,男,東京都,Men Gray パンツ A M,ボトムス,Men,Gray,M,16500
202205200045-1,2022-05-20,C00001103,SK-AWWS,3,54300,2022-05-22,,配達済み,内田 麻衣子,うちだ まいこ,1987-07-12,女,福岡県,Women White スカート A S,ボトムス,Women,White,S,18100
202205200025-1,2022-05-20,C00000690,NI-CMBS,1,12300,2022-05-23,,配達済み,岡田 浩之,おかだ ひろゆき,1980-12-02,男,東京都,Men Black ニット C S,トップス,Men,Black,S,12300
202205200049-1,2022-05-20,C00001206,PA-BMWM,1,20000,2022-05-23,,配達済み,宮本 あゆみ,みやもと あゆみ,1973-03-28,女,東京都,Men White パンツ B M,ボトムス,Men,White,M,20000
202205200006-1,2022-05-20,C00000112,PA-BWBS,1,19800,2022-05-23,,配達済み,小川 幸枝,おがわ ゆきえ,1991-06-13,女,神奈川県,Women Black パンツ B S,ボトムス,Women,Black,S,19800
202205200011-1,2022-05-20,C00000522,JA-AWBS,1,31900,2022-05-23,,配達済み,松岡 彩,まつおか あや,2001-10-03,女,広島県,Women Black ジャケット A S,アウター,Women,Black,S,31900
202205200033-1,2022-05-20,C00000852,BP-AUNN,1,10200,2022-05-26,,配達済み,江田 さえ,えだ さえ,1996-03-03,女,兵庫県,バックパック A,バッグ,Unisex,,,10200
202205200051-1,2022-05-20,C00001353,PA-BWWS,1,19800,2022-05-22,,配達済み,桑田 史子,くわた ふみこ,1995-12-20,女,大阪府,Women White パンツ B S,ボトムス,Women,White,S,19800
202205200054-1,2022-05-20,C00001541,PA-AMBL,1,16500,2022-05-25,,配達済み,奥村 政博,おくむら まさひろ,1976-12-24,男,鳥取県,Men Black パンツ A L,ボトムス,Men,Black,L,16500
202205200024-1,2022-05-20,C00000631,PA-CWGM,1,14300,2022-05-24,,配達済み,西田 泉,にしだ いずみ,1997-11-07,女,兵庫県,Women Gray パンツ C M,ボトムス,Women,Gray,M,14300
202205200063-1,2022-05-20,C00002008,TB-AUNN,2,15600,2022-05-23,,配達済み,大藪 貴代子,おおやぶ きよこ,1979-01-30,女,大阪府,トートバッグ A,バッグ,Unisex,,,7800
202205200038-1,2022-05-20,C00000924,BP-CUNN,1,12900,2022-05-24,,配達済み,松浦 真里子,まつうら まりこ,1984-05-26,女,神奈川県,バックパック C,バッグ,Unisex,,,12900
202205200017-1,2022-05-20,C00000573,NI-BWBM,2,30200,2022-05-23,,配達済み,大野 円,おおの まどか,1992-04-26,女,千葉県,Women Black ニット B M,トップス,Women,Black,M,15100
202205200029-1,2022-05-20,C00000708,PA-CMWS,1,14300,2022-05-23,,配達済み,小山 友紀,こやま ともき,1988-06-02,男,神奈川県,Men White パンツ C S,ボトムス,Men,White,S,14300
202205200050-1,2022-05-20,C00001247,NI-BWGL,1,15100,2022-05-23,,配達済み,相川 美奈子,あいかわ みなこ,2002-04-21,女,東京都,Women Gray ニット B L,トップス,Women,Gray,L,15100
202205200056-1,2022-05-20,C00001776,PA-CMBS,1,14300,2022-05-25,,配達済み,小泉 卓也,こいずみ たくや,1992-05-02,男,東京都,Men Black パンツ C S,ボトムス,Men,Black,S,14300
202205200040-1,2022-05-20,C00000946,PA-BMGS,1,20000,2022-05-25,,配達済み,冨樫 正俊,とがし まさとし,1986-01-30,男,福岡県,Men Gray パンツ B S,ボトムス,Men,Gray,S,20000
202205200000-1,2022-05-20,C00000020,PA-CMWS,1,14300,2022-05-24,,配達済み,佐藤 智矢,さとう ともや,1996-05-16,男,東京都,Men White パンツ C S,ボトムス,Men,White,S,14300
202205200007-1,2022-05-20,C00000246,HA-AKNN,1,4300,2022-05-24,,配達済み,河合 美佳,かわい みか,1982-09-18,女,広島県,帽子 A,小物,Kids,,,4300
202205200063-2,2022-05-20,C00002008,TS-CMBS,1,7600,2022-05-24,,配達済み,大藪 貴代子,おおやぶ きよこ,1979-01-30,女,大阪府,Men Black Tシャツ C S,トップス,Men,Black,S,7600
202205200015-1,2022-05-20,C00000565,CT-AKWL,1,19800,2022-05-24,,配達済み,島田 慎介,しまだ しんすけ,1988-03-15,男,福岡県,Kids White コート A L,アウター,Kids,White,L,19800
202205200015-2,2022-05-20,C00000565,HA-AKNN,3,12900,2022-05-24,,配達済み,島田 慎介,しまだ しんすけ,1988-03-15,男,福岡県,帽子 A,小物,Kids,,,4300
202205200052-1,2022-05-20,C00001478,BP-AUNN,1,10200,2022-05-24,,配達済み,田村 敦子,たむら あつこ,1994-10-02,女,埼玉県,バックパック A,バッグ,Unisex,,,10200
202205200058-1,2022-05-20,C00002001,TB-BUNN,1,9800,2022-05-25,,配達済み,大石 尚子,おおいし なおこ,1983-06-22,女,東京都,トートバッグ B,バッグ,Unisex,,,9800
